,Name,Age,Height,Weight,Team,Sex,NOC,Games,Year,Season,City,Sport,Event,Medal
42851,Beatrice Nicoleta Coad-Claru,25.0,170.0,64.0,Romania,F,ROU,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 400 metres Individual Medley,Bronze
42860,Allen James Coage,32.0,188.0,114.0,United States,M,USA,1976 Summer,1976,Summer,Montreal,Judo,Judo Men's Heavyweight,Bronze
42861,Marion Janice Coakes (-Mould),21.0,165.0,60.0,Great Britain,F,GBR,1968 Summer,1968,Summer,Mexico City,Equestrianism,"Equestrianism Mixed Jumping, Individual",Silver
42868,William Coales,22.0,167.0,56.0,Great Britain,M,GBR,1908 Summer,1908,Summer,London,Athletics,"Athletics Men's 3 mile, Team",Gold
42916,Janet Marie Cobbs (-Mulholland),25.0,183.0,70.0,United States,F,USA,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Women's Volleyball,Bronze
42920,Brien William Baxter Cobcroft,34.0,177.0,72.0,Australia,M,AUS,1968 Summer,1968,Summer,Mexico City,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
42921,Annelise Coberger,20.0,178.0,71.0,New Zealand,F,NZL,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Women's Slalom,Silver
42927,Miguelina Cobin Hechavarra,26.0,170.0,63.0,Cuba,F,CUB,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
42934,Ignacio Cobos Vidal,30.0,183.0,90.0,Spain,M,ESP,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Men's Hockey,Silver
42936,Emma Jane Coburn,25.0,173.0,54.0,United States,F,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Women's 3,000 metres Steeplechase",Bronze
42942,Jean-Paul tienne Gustave Coche,25.0,174.0,80.0,France,M,FRA,1972 Summer,1972,Summer,Munich,Judo,Judo Men's Middleweight,Bronze
42945,Henri Jean Cochet,22.0,0.0,0.0,France,M,FRA,1924 Summer,1924,Summer,Paris,Tennis,Tennis Men's Singles,Silver
42946,Henri Jean Cochet,22.0,0.0,0.0,France-1,M,FRA,1924 Summer,1924,Summer,Paris,Tennis,Tennis Men's Doubles,Silver
42952,Barbara Ann Cochran (-Williams),21.0,154.0,50.0,United States,F,USA,1972 Winter,1972,Winter,Sapporo,Alpine Skiing,Alpine Skiing Women's Slalom,Gold
42956,"Commodore Shelton ""Com"" Cochran",22.0,185.0,75.0,United States,M,USA,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
42957,"Richard Lee ""Dick"" Cochran",22.0,195.0,102.0,United States,M,USA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Discus Throw,Bronze
42965,Neil Cochran,19.0,174.0,70.0,Great Britain,M,GBR,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
42967,Neil Cochran,19.0,174.0,70.0,Great Britain,M,GBR,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Individual Medley,Bronze
42971,"Leroy Braxton ""Roy"" Cochran",29.0,178.0,70.0,United States,M,USA,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 400 metres Hurdles,Gold
42972,"Leroy Braxton ""Roy"" Cochran",29.0,178.0,70.0,United States,M,USA,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
42973,Blair Onslow Cochrane,54.0,0.0,0.0,Cobweb-1,M,GBR,1908 Summer,1908,Summer,London,Sailing,Sailing Mixed 8 metres,Gold
42978,Ryan Andrew Cochrane,19.0,192.0,80.0,Canada,M,CAN,2008 Summer,2008,Summer,Beijing,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze
42980,Ryan Andrew Cochrane,23.0,192.0,80.0,Canada,M,CAN,2012 Summer,2012,Summer,London,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver
43001,"William Hastings ""Bill"" Cockburn",29.0,0.0,0.0,Canada,M,CAN,1932 Winter,1932,Winter,Lake Placid,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
43002,Karen Cockburn (-Turgeon),19.0,161.0,55.0,Canada,F,CAN,2000 Summer,2000,Summer,Sydney,Trampolining,Trampolining Women's Individual,Bronze
43003,Karen Cockburn (-Turgeon),23.0,161.0,55.0,Canada,F,CAN,2004 Summer,2004,Summer,Athina,Trampolining,Trampolining Women's Individual,Silver
43004,Karen Cockburn (-Turgeon),27.0,161.0,55.0,Canada,F,CAN,2008 Summer,2008,Summer,Beijing,Trampolining,Trampolining Women's Individual,Silver
43012,John Ashley Cockett,24.0,0.0,0.0,Great Britain,M,GBR,1952 Summer,1952,Summer,Helsinki,Hockey,Hockey Men's Hockey,Bronze
43028,Roxana Daniela Coco,23.0,158.0,68.0,Romania,F,ROU,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Women's Light-Heavyweight,Silver
43050,Roman Codreanu,23.0,194.0,146.0,Romania,M,ROU,1976 Summer,1976,Summer,Montreal,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Bronze
43059,"Sebastian Newbold ""Seb"" Coe",23.0,175.0,54.0,Great Britain,M,GBR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,Silver
43060,"Sebastian Newbold ""Seb"" Coe",23.0,175.0,54.0,Great Britain,M,GBR,1980 Summer,1980,Summer,Moskva,Athletics,"Athletics Men's 1,500 metres",Gold
43061,"Sebastian Newbold ""Seb"" Coe",27.0,175.0,54.0,Great Britain,M,GBR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 800 metres,Silver
43062,"Sebastian Newbold ""Seb"" Coe",27.0,175.0,54.0,Great Britain,M,GBR,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",Gold
43063,Thomas Coe,0.0,0.0,0.0,"Osborne Swimming Club, Manchester",M,GBR,1900 Summer,1900,Summer,Paris,Water Polo,Water Polo Men's Water Polo,Gold
43064,"William Wesley Coe, Jr.",26.0,178.0,95.0,United States,M,USA,1904 Summer,1904,Summer,St. Louis,Athletics,Athletics Men's Shot Put,Silver
43074,Jonathan Coeffic,27.0,190.0,91.0,France,M,FRA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Quadruple Sculls,Bronze
43112,Andrzej Bogdan Cofalik,27.0,170.0,81.0,Poland,M,POL,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Light-Heavyweight,Bronze
