State,District,Type_of_Crime,Crime,Count
Delhi,NORTH,Property Crime,Other_Theft,3735
Delhi,NORTH,Property Crime,Auto_Theft,3086
Delhi,NORTH,Property Crime,Burglary,2176
Delhi,NORTH,Negligence,Causing_Death_By_Negligence,1658
Delhi,NORTH,Violent Crime,Riots,1310
Delhi,NORTH,Family-Related Crime,Cruelty_By_Husband_Or_His_Relatives,1213
Delhi,NORTH,Trust/Deception Crime,Cheating,977
Delhi,NORTH,Sexual Crime,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,799
Delhi,NORTH,Violent Crime,Attempt_To_Murder,611
Delhi,NORTH,Sexual Crime,Other_Rape,455
Delhi,NORTH,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Women_And_Girls,305
Delhi,NORTH,Trust/Deception Crime,Criminal_Breach_Of_Trust,236
Delhi,NORTH,Family-Related Crime,Dowry_Deaths,137
Delhi,NORTH,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Others,117
Delhi,NORTH,Sexual Crime,Insult_To_Modesty_Of_Women,98
Delhi,NORTH,Kidnapping/Abduction,Kidnapping_And_Abduction,84
Delhi,NORTH,Property Crime,Preparation_And_Assembly_For_Dacoity,54
Delhi,NORTH,Violent Crime,Culpable_Homicide_Not_Amounting_To_Murder,46
Delhi,NORTH,Violent Crime,Murder,40
Delhi,NORTH,Trust/Deception Crime,Counterfieting,33
Delhi,NORTH,Sexual Crime,Rape,27
Delhi,NORTH,Other,Importation_Of_Girls_From_Foreign_Countries,0
Delhi,NORTH,Sexual Crime,Custodial_Rape,0
Delhi,NORTH-EAST,Violent Crime,Hurt/Grevious_Hurt,6713
Delhi,NORTH-EAST,Property Crime,Theft,5249
Delhi,NORTH-EAST,Property Crime,Other_Theft,2839
Delhi,NORTH-EAST,Property Crime,Burglary,2477
Delhi,NORTH-EAST,Property Crime,Auto_Theft,2410
Delhi,NORTH-EAST,Violent Crime,Riots,1428
Delhi,NORTH-EAST,Trust/Deception Crime,Cheating,1180
Delhi,NORTH-EAST,Sexual Crime,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,1107
Delhi,NORTH-EAST,Family-Related Crime,Cruelty_By_Husband_Or_His_Relatives,1091
Delhi,NORTH-EAST,Negligence,Causing_Death_By_Negligence,862
Delhi,NORTH-EAST,Sexual Crime,Other_Rape,505
Delhi,NORTH-EAST,Violent Crime,Attempt_To_Murder,427
Delhi,NORTH-EAST,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Women_And_Girls,224
Delhi,NORTH-EAST,Sexual Crime,Insult_To_Modesty_Of_Women,176
Delhi,NORTH-EAST,Family-Related Crime,Dowry_Deaths,131
Delhi,NORTH-EAST,Trust/Deception Crime,Criminal_Breach_Of_Trust,111
Delhi,NORTH-EAST,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Others,71
Delhi,NORTH-EAST,Property Crime,Preparation_And_Assembly_For_Dacoity,55
Delhi,NORTH-EAST,Violent Crime,Culpable_Homicide_Not_Amounting_To_Murder,36
Delhi,NORTH-EAST,Trust/Deception Crime,Counterfieting,31
Delhi,NORTH-EAST,Sexual Crime,Custodial_Rape,0
Delhi,NORTH-EAST,Sexual Crime,Rape,0
Delhi,NORTH-EAST,Kidnapping/Abduction,Kidnapping_And_Abduction,0
Delhi,NORTH-EAST,Violent Crime,Murder,0
Delhi,NORTH-EAST,Other,Importation_Of_Girls_From_Foreign_Countries,0
Delhi,SOUTH-WEST,Violent Crime,Hurt/Grevious_Hurt,6886
Delhi,SOUTH-WEST,Property Crime,Theft,4667
Delhi,SOUTH-WEST,Property Crime,Other_Theft,2765
Delhi,SOUTH-WEST,Property Crime,Burglary,2002
Delhi,SOUTH-WEST,Property Crime,Auto_Theft,1902
Delhi,SOUTH-WEST,Violent Crime,Riots,1382
Delhi,SOUTH-WEST,Family-Related Crime,Cruelty_By_Husband_Or_His_Relatives,1217
Delhi,SOUTH-WEST,Negligence,Causing_Death_By_Negligence,1202
Delhi,SOUTH-WEST,Sexual Crime,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,938
Delhi,SOUTH-WEST,Trust/Deception Crime,Cheating,720
Delhi,SOUTH-WEST,Violent Crime,Attempt_To_Murder,545
Delhi,SOUTH-WEST,Sexual Crime,Other_Rape,503
Delhi,SOUTH-WEST,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Women_And_Girls,314
Delhi,SOUTH-WEST,Trust/Deception Crime,Criminal_Breach_Of_Trust,176
Delhi,SOUTH-WEST,Kidnapping/Abduction,Kidnapping_And_Abduction,161
Delhi,SOUTH-WEST,Sexual Crime,Insult_To_Modesty_Of_Women,128
Delhi,SOUTH-WEST,Family-Related Crime,Dowry_Deaths,110
Delhi,SOUTH-WEST,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Others,100
Delhi,SOUTH-WEST,Sexual Crime,Rape,79
Delhi,SOUTH-WEST,Violent Crime,Murder,52
Delhi,SOUTH-WEST,Property Crime,Robbery,48
Delhi,SOUTH-WEST,Violent Crime,Culpable_Homicide_Not_Amounting_To_Murder,37
Delhi,SOUTH-WEST,Trust/Deception Crime,Counterfieting,11
Delhi,SOUTH-WEST,Sexual Crime,Custodial_Rape,0
Delhi,SOUTH-WEST,Other,Importation_Of_Girls_From_Foreign_Countries,0
Karnataka,BANGALORE COMMR.,Property Crime,Theft,9514
Karnataka,BANGALORE COMMR.,Violent Crime,Hurt/Grevious_Hurt,5584
Karnataka,BANGALORE COMMR.,Property Crime,Other_Theft,5170
Karnataka,BANGALORE COMMR.,Property Crime,Auto_Theft,4344
Karnataka,BANGALORE COMMR.,Trust/Deception Crime,Cheating,2542
