State,District,Type_of_Crime,Crime,Count
Jammu & Kashmir,BARAMULLA,Violent Crime,Murder,78
Jammu & Kashmir,BARAMULLA,Violent Crime,Culpable_Homicide_Not_Amounting_To_Murder,62
Jammu & Kashmir,BARAMULLA,Property Crime,Arson,24
Jammu & Kashmir,BARAMULLA,Sexual Crime,Rape,16
Jammu & Kashmir,BARAMULLA,Sexual Crime,Custodial_Rape,0
Jammu & Kashmir,BARAMULLA,Other,Importation_Of_Girls_From_Foreign_Countries,0
Jammu & Kashmir,CRIME JAMMU,Property Crime,Theft,7537
Jammu & Kashmir,CRIME JAMMU,Violent Crime,Hurt/Grevious_Hurt,6250
Jammu & Kashmir,CRIME JAMMU,Property Crime,Auto_Theft,3889
Jammu & Kashmir,CRIME JAMMU,Property Crime,Other_Theft,3648
Jammu & Kashmir,CRIME JAMMU,Negligence,Causing_Death_By_Negligence,2561
Jammu & Kashmir,CRIME JAMMU,Property Crime,Burglary,2282
Jammu & Kashmir,CRIME JAMMU,Trust/Deception Crime,Cheating,1544
Jammu & Kashmir,CRIME JAMMU,Family-Related Crime,Cruelty_By_Husband_Or_His_Relatives,1373
Jammu & Kashmir,CRIME JAMMU,Violent Crime,Riots,1337
Jammu & Kashmir,CRIME JAMMU,Sexual Crime,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,800
Jammu & Kashmir,CRIME JAMMU,Violent Crime,Attempt_To_Murder,762
Jammu & Kashmir,CRIME JAMMU,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Women_And_Girls,693
Jammu & Kashmir,CRIME JAMMU,Sexual Crime,Other_Rape,343
Jammu & Kashmir,CRIME JAMMU,Trust/Deception Crime,Criminal_Breach_Of_Trust,274
Jammu & Kashmir,CRIME JAMMU,Family-Related Crime,Dowry_Deaths,227
Jammu & Kashmir,CRIME JAMMU,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Others,195
Jammu & Kashmir,CRIME JAMMU,Sexual Crime,Insult_To_Modesty_Of_Women,100
Jammu & Kashmir,CRIME JAMMU,Trust/Deception Crime,Counterfieting,92
Jammu & Kashmir,CRIME JAMMU,Violent Crime,Culpable_Homicide_Not_Amounting_To_Murder,82
Jammu & Kashmir,CRIME JAMMU,Property Crime,Preparation_And_Assembly_For_Dacoity,25
Jammu & Kashmir,CRIME JAMMU,Sexual Crime,Custodial_Rape,0
Jammu & Kashmir,CRIME JAMMU,Other,Importation_Of_Girls_From_Foreign_Countries,0
Jammu & Kashmir,CRIME JAMMU,Sexual Crime,Rape,0
Jammu & Kashmir,CRIME JAMMU,Kidnapping/Abduction,Kidnapping_And_Abduction,0
Jammu & Kashmir,CRIME JAMMU,Violent Crime,Murder,0
Jammu & Kashmir,JAMMU,Property Crime,Theft,6831
Jammu & Kashmir,JAMMU,Violent Crime,Hurt/Grevious_Hurt,4467
Jammu & Kashmir,JAMMU,Property Crime,Auto_Theft,3612
Jammu & Kashmir,JAMMU,Property Crime,Other_Theft,3219
Jammu & Kashmir,JAMMU,Negligence,Causing_Death_By_Negligence,2404
Jammu & Kashmir,JAMMU,Trust/Deception Crime,Cheating,1997
Jammu & Kashmir,JAMMU,Property Crime,Burglary,1602
Jammu & Kashmir,JAMMU,Family-Related Crime,Cruelty_By_Husband_Or_His_Relatives,1320
Jammu & Kashmir,JAMMU,Violent Crime,Riots,1161
Jammu & Kashmir,JAMMU,Sexual Crime,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,810
Jammu & Kashmir,JAMMU,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Women_And_Girls,786
Jammu & Kashmir,JAMMU,Violent Crime,Attempt_To_Murder,653
Jammu & Kashmir,JAMMU,Trust/Deception Crime,Criminal_Breach_Of_Trust,352
Jammu & Kashmir,JAMMU,Sexual Crime,Other_Rape,339
Jammu & Kashmir,JAMMU,Family-Related Crime,Dowry_Deaths,184
Jammu & Kashmir,JAMMU,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Others,132
Jammu & Kashmir,JAMMU,Violent Crime,Culpable_Homicide_Not_Amounting_To_Murder,74
Jammu & Kashmir,JAMMU,Trust/Deception Crime,Counterfieting,30
Jammu & Kashmir,JAMMU,Sexual Crime,Insult_To_Modesty_Of_Women,15
Jammu & Kashmir,JAMMU,Property Crime,Preparation_And_Assembly_For_Dacoity,12
Jammu & Kashmir,JAMMU,Sexual Crime,Custodial_Rape,0
Jammu & Kashmir,JAMMU,Other,Importation_Of_Girls_From_Foreign_Countries,0
Jammu & Kashmir,JAMMU,Sexual Crime,Rape,0
Jammu & Kashmir,JAMMU,Kidnapping/Abduction,Kidnapping_And_Abduction,0
Jammu & Kashmir,JAMMU,Violent Crime,Murder,0
Madhya Pradesh,RAJGARH,Property Crime,Theft,31149
Madhya Pradesh,RAJGARH,Property Crime,Auto_Theft,18796
Madhya Pradesh,RAJGARH,Property Crime,Other_Theft,12353
Madhya Pradesh,RAJGARH,Violent Crime,Hurt/Grevious_Hurt,9852
Madhya Pradesh,RAJGARH,Trust/Deception Crime,Cheating,3685
Madhya Pradesh,RAJGARH,Family-Related Crime,Cruelty_By_Husband_Or_His_Relatives,3516
Madhya Pradesh,RAJGARH,Property Crime,Burglary,3404
Madhya Pradesh,RAJGARH,Negligence,Causing_Death_By_Negligence,2886
Madhya Pradesh,RAJGARH,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Women_And_Girls,2716
Madhya Pradesh,RAJGARH,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Others,1987
Madhya Pradesh,RAJGARH,Sexual Crime,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,1795
Madhya Pradesh,RAJGARH,Sexual Crime,Other_Rape,1118
Madhya Pradesh,RAJGARH,Violent Crime,Attempt_To_Murder,905
Madhya Pradesh,RAJGARH,Violent Crime,Riots,685
Madhya Pradesh,RAJGARH,Trust/Deception Crime,Criminal_Breach_Of_Trust,530
Madhya Pradesh,RAJGARH,Sexual Crime,Insult_To_Modesty_Of_Women,506
Madhya Pradesh,RAJGARH,Family-Related Crime,Dowry_Deaths,279
Madhya Pradesh,RAJGARH,Sexual Crime,Rape,223
Madhya Pradesh,RAJGARH,Violent Crime,Culpable_Homicide_Not_Amounting_To_Murder,137
Madhya Pradesh,RAJGARH,Kidnapping/Abduction,Kidnapping_And_Abduction,119
Madhya Pradesh,RAJGARH,Property Crime,Arson,101
Madhya Pradesh,RAJGARH,Violent Crime,Murder,71
Madhya Pradesh,RAJGARH,Trust/Deception Crime,Counterfieting,54
Madhya Pradesh,RAJGARH,Sexual Crime,Custodial_Rape,0
Madhya Pradesh,RAJGARH,Other,Importation_Of_Girls_From_Foreign_Countries,0
Madhya Pradesh,GWALIOR,Property Crime,Theft,28340
Madhya Pradesh,GWALIOR,Property Crime,Auto_Theft,17216
Madhya Pradesh,GWALIOR,Property Crime,Other_Theft,11124
Madhya Pradesh,GWALIOR,Violent Crime,Hurt/Grevious_Hurt,7053
Madhya Pradesh,GWALIOR,Trust/Deception Crime,Cheating,3548
Madhya Pradesh,GWALIOR,Property Crime,Burglary,3205
Madhya Pradesh,GWALIOR,Family-Related Crime,Cruelty_By_Husband_Or_His_Relatives,3014
Madhya Pradesh,GWALIOR,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Women_And_Girls,2572
Madhya Pradesh,GWALIOR,Negligence,Causing_Death_By_Negligence,2255
Madhya Pradesh,GWALIOR,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Others,1988
Madhya Pradesh,GWALIOR,Sexual Crime,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,1210
Madhya Pradesh,GWALIOR,Sexual Crime,Other_Rape,1009
Madhya Pradesh,GWALIOR,Violent Crime,Attempt_To_Murder,984
Madhya Pradesh,GWALIOR,Trust/Deception Crime,Criminal_Breach_Of_Trust,516
Madhya Pradesh,GWALIOR,Violent Crime,Riots,467
Madhya Pradesh,GWALIOR,Sexual Crime,Insult_To_Modesty_Of_Women,370
Madhya Pradesh,GWALIOR,Family-Related Crime,Dowry_Deaths,310
Madhya Pradesh,GWALIOR,Violent Crime,Culpable_Homicide_Not_Amounting_To_Murder,199
Madhya Pradesh,GWALIOR,Trust/Deception Crime,Counterfieting,111
Madhya Pradesh,GWALIOR,Property Crime,Robbery,110
Madhya Pradesh,GWALIOR,Sexual Crime,Rape,104
Madhya Pradesh,GWALIOR,Violent Crime,Murder,90
Madhya Pradesh,GWALIOR,Kidnapping/Abduction,Kidnapping_And_Abduction,55
Madhya Pradesh,GWALIOR,Sexual Crime,Custodial_Rape,0
Madhya Pradesh,GWALIOR,Other,Importation_Of_Girls_From_Foreign_Countries,0
Madhya Pradesh,CHHATARPUR,Property Crime,Theft,24998
Madhya Pradesh,CHHATARPUR,Property Crime,Auto_Theft,15194
Madhya Pradesh,CHHATARPUR,Property Crime,Other_Theft,9804
Madhya Pradesh,CHHATARPUR,Violent Crime,Hurt/Grevious_Hurt,5644
Madhya Pradesh,CHHATARPUR,Trust/Deception Crime,Cheating,3363
Madhya Pradesh,CHHATARPUR,Family-Related Crime,Cruelty_By_Husband_Or_His_Relatives,3151
Madhya Pradesh,CHHATARPUR,Property Crime,Burglary,2767
Madhya Pradesh,CHHATARPUR,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Women_And_Girls,2513
Madhya Pradesh,CHHATARPUR,Negligence,Causing_Death_By_Negligence,2215
Madhya Pradesh,CHHATARPUR,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Others,1884
Madhya Pradesh,CHHATARPUR,Sexual Crime,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,1223
Madhya Pradesh,CHHATARPUR,Violent Crime,Attempt_To_Murder,1000
Madhya Pradesh,CHHATARPUR,Sexual Crime,Other_Rape,967
Madhya Pradesh,CHHATARPUR,Violent Crime,Riots,700
Madhya Pradesh,CHHATARPUR,Trust/Deception Crime,Criminal_Breach_Of_Trust,517
Madhya Pradesh,CHHATARPUR,Sexual Crime,Insult_To_Modesty_Of_Women,362
Madhya Pradesh,CHHATARPUR,Family-Related Crime,Dowry_Deaths,246
Madhya Pradesh,CHHATARPUR,Violent Crime,Culpable_Homicide_Not_Amounting_To_Murder,203
Madhya Pradesh,CHHATARPUR,Sexual Crime,Rape,104
Madhya Pradesh,CHHATARPUR,Property Crime,Preparation_And_Assembly_For_Dacoity,96
Madhya Pradesh,CHHATARPUR,Trust/Deception Crime,Counterfieting,84
Madhya Pradesh,CHHATARPUR,Violent Crime,Murder,58
Madhya Pradesh,CHHATARPUR,Kidnapping/Abduction,Kidnapping_And_Abduction,13
Madhya Pradesh,CHHATARPUR,Sexual Crime,Custodial_Rape,0
Madhya Pradesh,CHHATARPUR,Other,Importation_Of_Girls_From_Foreign_Countries,0
Madhya Pradesh,RATLAM,Property Crime,Theft,16616
Madhya Pradesh,RATLAM,Violent Crime,Hurt/Grevious_Hurt,13878
Madhya Pradesh,RATLAM,Property Crime,Other_Theft,9860
Madhya Pradesh,RATLAM,Property Crime,Auto_Theft,6756
Madhya Pradesh,RATLAM,Trust/Deception Crime,Cheating,5317
Madhya Pradesh,RATLAM,Family-Related Crime,Cruelty_By_Husband_Or_His_Relatives,3271
Madhya Pradesh,RATLAM,Negligence,Causing_Death_By_Negligence,3217
Madhya Pradesh,RATLAM,Property Crime,Burglary,2315
Madhya Pradesh,RATLAM,Sexual Crime,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,1939
Madhya Pradesh,RATLAM,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Women_And_Girls,1228
Madhya Pradesh,RATLAM,Violent Crime,Attempt_To_Murder,1107
Madhya Pradesh,RATLAM,Violent Crime,Riots,1009
Madhya Pradesh,RATLAM,Sexual Crime,Other_Rape,724
Madhya Pradesh,RATLAM,Trust/Deception Crime,Criminal_Breach_Of_Trust,709
Madhya Pradesh,RATLAM,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Others,644
Madhya Pradesh,RATLAM,Sexual Crime,Insult_To_Modesty_Of_Women,380
Madhya Pradesh,RATLAM,Family-Related Crime,Dowry_Deaths,312
Madhya Pradesh,RATLAM,Sexual Crime,Rape,207
Madhya Pradesh,RATLAM,Violent Crime,Culpable_Homicide_Not_Amounting_To_Murder,136
Madhya Pradesh,RATLAM,Trust/Deception Crime,Counterfieting,99
Madhya Pradesh,RATLAM,Violent Crime,Murder,94
Madhya Pradesh,RATLAM,Property Crime,Preparation_And_Assembly_For_Dacoity,76
Madhya Pradesh,RATLAM,Kidnapping/Abduction,Kidnapping_And_Abduction,55
Madhya Pradesh,RATLAM,Other,Importation_Of_Girls_From_Foreign_Countries,4
Madhya Pradesh,RATLAM,Sexual Crime,Custodial_Rape,0
Madhya Pradesh,SAGAR,Violent Crime,Hurt/Grevious_Hurt,17086
Madhya Pradesh,SAGAR,Property Crime,Theft,10665
Madhya Pradesh,SAGAR,Property Crime,Other_Theft,7258
Madhya Pradesh,SAGAR,Family-Related Crime,Cruelty_By_Husband_Or_His_Relatives,6823
Madhya Pradesh,SAGAR,Property Crime,Auto_Theft,3407
Madhya Pradesh,SAGAR,Sexual Crime,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,3097
Madhya Pradesh,SAGAR,Property Crime,Burglary,2812
